round(Avg(Temp))	ChangeDate
35	2018-10-03 00:08:01.000226
35	2018-10-03 00:09:00.492533
35	2018-10-03 00:10:01.735183
35	2018-10-03 00:11:01.217546
35	2018-10-03 00:12:00.694192
35	2018-10-03 00:13:00.174782
35	2018-10-03 00:14:01.411424
35	2018-10-03 00:15:00.909707
35	2018-10-03 00:16:00.391568
35	2018-10-03 00:17:01.630381
35	2018-10-03 00:18:01.127685
35	2018-10-03 00:19:00.628827
35	2018-10-03 00:20:00.109854
35	2018-10-03 00:21:01.327562
35	2018-10-03 00:22:00.835687
35	2018-10-03 00:23:00.329097
35	2018-10-03 00:24:01.568785
35	2018-10-03 00:25:01.047997
35	2018-10-03 00:26:00.611686
35	2018-10-03 00:27:00.045547
35	2018-10-03 00:28:01.329424
35	2018-10-03 00:29:00.791321
35	2018-10-03 00:30:00.289694
35	2018-10-03 00:31:01.527050
35	2018-10-03 00:32:01.008672
35	2018-10-03 00:33:00.505844
35	2018-10-03 00:34:01.746676
35	2018-10-03 00:35:01.227749
35	2018-10-03 00:36:00.708977
35	2018-10-03 00:37:00.208207
35	2018-10-03 00:38:01.468796
35	2018-10-03 00:39:00.931053
35	2018-10-03 00:40:00.427551
35	2018-10-03 00:41:01.668133
35	2018-10-03 00:42:01.152346
35	2018-10-03 00:43:00.625578
35	2018-10-03 00:44:00.089717
35	2018-10-03 00:45:01.309426
35	2018-10-03 00:46:00.807572
35	2018-10-03 00:47:00.286822
35	2018-10-03 00:48:01.528757
35	2018-10-03 00:49:01.005685
35	2018-10-03 00:50:00.467886
35	2018-10-03 00:51:01.689630
35	2018-10-03 00:52:01.187759
35	2018-10-03 00:53:00.687075
35	2018-10-03 00:54:00.167301
35	2018-10-03 00:55:01.414165
35	2018-10-03 00:56:00.887239
35	2018-10-03 00:57:00.387399
35	2018-10-03 00:58:01.605196
35	2018-10-03 00:59:01.106417
35	2018-10-03 01:00:00.627700
35	2018-10-03 01:01:00.108825
35	2018-10-03 01:02:01.345527
35	2018-10-03 01:03:00.827766
35	2018-10-03 01:04:00.308885
35	2018-10-03 01:05:01.526176
35	2018-10-03 01:06:01.048853
35	2018-10-03 01:07:00.488090
35	2018-10-03 01:08:00.002981
35	2018-10-03 01:09:01.264688
35	2018-10-03 01:10:00.767421
35	2018-10-03 01:11:00.209538
35	2018-10-03 01:12:01.427225
35	2018-10-03 01:13:01.027790
35	2018-10-03 01:14:00.386846
35	2018-10-03 01:15:01.626303
35	2018-10-03 01:16:01.155670
35	2018-10-03 01:17:00.624792
35	2018-10-03 01:18:00.107131
35	2018-10-03 01:19:01.354661
35	2018-10-03 01:20:00.848895
35	2018-10-03 01:21:00.585716
35	2018-10-03 01:22:01.571666
35	2018-10-03 01:23:01.053183
35	2018-10-03 01:24:00.525357
35	2018-10-03 01:25:00.026644
35	2018-10-03 01:26:01.288217
35	2018-10-03 01:27:00.767459
35	2018-10-03 01:28:00.246734
35	2018-10-03 01:29:01.488522
35	2018-10-03 01:30:00.965939
35	2018-10-03 01:31:00.510870
35	2018-10-03 01:32:01.687870
35	2018-10-03 01:33:01.164707
35	2018-10-03 01:34:00.666092
35	2018-10-03 01:35:00.147993
35	2018-10-03 01:36:01.385032
35	2018-10-03 01:37:00.866175
35	2018-10-03 01:38:00.369351
35	2018-10-03 01:39:01.586013
35	2018-10-03 01:40:01.066259
35	2018-10-03 01:41:00.569877
35	2018-10-03 01:42:00.043940
35	2018-10-03 01:43:01.289267
35	2018-10-03 01:44:00.766777
35	2018-10-03 01:45:00.268295
35	2018-10-03 01:46:01.504798
35	2018-10-03 01:47:01.007022
35	2018-10-03 01:48:00.510276
35	2018-10-03 01:49:01.763686
35	2018-10-03 01:50:01.246336
35	2018-10-03 01:51:00.728458
35	2018-10-03 01:52:00.222723
35	2018-10-03 01:53:01.451430
35	2018-10-03 01:54:00.928733
35	2018-10-03 01:55:00.404909
35	2018-10-03 01:56:01.646413
35	2018-10-03 01:57:01.126961
35	2018-10-03 01:58:00.629045
35	2018-10-03 01:59:00.087293
35	2018-10-03 02:00:01.326901
35	2018-10-03 02:01:00.830335
35	2018-10-03 02:02:00.326591
35	2018-10-03 02:03:01.551496
35	2018-10-03 02:04:01.027149
35	2018-10-03 02:05:00.544781
35	2018-10-03 02:06:00.025914
35	2018-10-03 02:07:01.247596
35	2018-10-03 02:08:00.746972
35	2018-10-03 02:09:00.227590
35	2018-10-03 02:10:01.469799
35	2018-10-03 02:11:00.948244
35	2018-10-03 02:12:00.430659
35	2018-10-03 02:13:01.675497
35	2018-10-03 02:14:01.148241
35	2018-10-03 02:15:00.646716
35	2018-10-03 02:16:00.128856
35	2018-10-03 02:17:01.369601
35	2018-10-03 02:18:00.856476
35	2018-10-03 02:19:00.346104
35	2018-10-03 02:20:01.608902
35	2018-10-03 02:21:01.070117
35	2018-10-03 02:22:00.546396
35	2018-10-03 02:23:00.034832
35	2018-10-03 02:24:01.268061
35	2018-10-03 02:25:00.767750
35	2018-10-03 02:26:00.246714
35	2018-10-03 02:27:01.489617
35	2018-10-03 02:28:00.966866
35	2018-10-03 02:29:00.469494
35	2018-10-03 02:30:01.687858
35	2018-10-03 02:31:01.165396
35	2018-10-03 02:32:00.667703
35	2018-10-03 02:33:00.169154
35	2018-10-03 02:34:01.407134
35	2018-10-03 02:35:00.988381
35	2018-10-03 02:36:00.492309
35	2018-10-03 02:37:01.668832
35	2018-10-03 02:38:01.106283
35	2018-10-03 02:39:00.587195
